,placa,loc_latitude,loc_longitude,count
1318,ODC8073,3366,9194,1
1319,OVS5852,4608,1990,1
1320,JCW3580,2964,3758,1
1321,HDY4358,1772,1190,1
1322,OCI2747,7262,8878,1
1323,NVQ6331,2964,3758,1
1324,LAD7942,4856,2400,1
1325,OAJ6910,1000,1194,1
1326,IPQ1152,472,5552,1
1327,NPJ9973,8525,2161,1
1328,AOD1482,461,4253,1
1329,OEZ7199,3522,1867,1
1330,HZD9077,7944,8369,1
1331,LCP6549,2612,6611,1
1332,HCY3050,8525,2161,2
1333,BBI8888,1308,9661,1
1334,ONI3767,2434,2172,1
1335,JXI9598,4738,6727,1
1336,HHV1471,9994,982,1
1337,ISL4967,5666,5667,1
1338,KIS1972,2556,2528,1
1339,ECV4557,3497,6138,1
1340,NIW2014,8053,4258,1
1341,OKR1956,1000,1194,1
1342,NUQ1325,4162,7589,1
1343,OKI6270,9994,982,1
1344,OCI5113,5825,9794,1
1345,IUQ7564,5500,4917,1
1346,MCY3283,3964,8994,1
1347,PON7460,6967,2919,1
1348,BLK4744,4608,1990,1
1349,NPO7517,7210,1962,1
1350,OAJ6910,500,9278,1
1351,BOI9986,2833,1278,1
1352,PEM7943,7361,6353,1
1353,NBT1109,9222,1778,1
1354,EOA5466,2556,2528,1
1355,NOO7288,7428,4378,1
1356,OSR3971,1000,833,1
1357,HBJ1463,4316,3639,1
1358,OOR2088,1000,833,1
1359,OHC5381,312,1961,1
1360,NQO7323,9694,2880,2
1361,NVK0247,9711,2269,1
1362,MTZ4743,9430,4736,1
1363,HMY5102,5256,7837,1
1364,OAJ6910,1024,3153,2
1365,NTU3613,5825,9794,1
1366,EVE2966,5466,1020,1
1367,ODS7110,5303,7658,1
1368,NUU1554,8053,4258,2
1369,NCN9093,4944,9278,1
1370,ODI3248,6775,7722,1
1371,OQI9151,9711,2269,1
1372,KAD6008,8310,2494,1
1373,NOE5739,1382,4248,1
1374,OAF0538,3366,9194,1
1375,PMM9910,2556,2528,1
1376,HIW5269,2403,9277,1
1377,PMN8281,472,5552,1
1378,IUG0011,1000,833,1
1379,BOY3435,6072,9488,1
1380,HYK0564,9222,5020,1
1381,OCF7777,4042,2203,1
1382,OXR7481,9654,4859,1
1383,HCF9955,9612,8692,1
1384,NVU9571,7122,5194,1
1385,OGS0383,7556,4971,3
1386,NQD7943,6638,2170,1
1387,OCW1770,224,9684,1
1388,IRT7352,4384,433,1
1389,LNL5138,9422,5310,1
1390,OGS0583,6072,9488,1
1391,HOY7400,6166,4305,2
1392,OVS8347,3538,70,1
1393,HCY3050,4082,6528,1
1394,OAZ6865,8711,2753,1
1395,HRV4445,5000,4778,1
1396,OHM9673,4400,5106,1
1397,HHX0957,7088,5806,1
1398,NSQ8953,5332,4583,1
1399,MQX4504,7210,1962,1
1400,OZH5283,9430,4736,1
1401,OKS0760,8310,2494,3
1402,PID8733,8053,4258,1
1403,OPG8211,9430,4736,1
1404,HUY1412,8188,8761,1
1405,OFG9765,972,983,1
1406,NSS1585,4853,8470,1
1407,OTR0217,7556,4971,1
1408,OAF0538,8525,2161,1
1409,OHQ9261,8112,2056,1
1410,HXU3029,2850,4686,1
1411,OSS4168,5303,7658,1
1412,OPS0903,8412,89,1
1413,KDZ9755,8412,89,1
1414,PDM9563,764,6804,1
1415,OEC1316,1638,6794,1
1416,PAM0187,224,9684,1
1417,OTN2484,7361,6353,1
1418,OSR7800,4361,2544,1
1419,KXV3771,4117,2929,1
1420,OBT8420,4738,6727,5
1421,OUM7872,1638,6794,1
1422,PDN8026,3894,8600,1
1423,BAN8948,2556,2528,1
1424,OIC1083,4117,2929,1
1425,PRM5158,3538,70,1
1426,HBY8425,1638,6794,4
1427,NDU5748,2633,875,1
1428,JOU3161,7556,4971,1
1429,JYR1148,3088,6052,1
1430,OUM6024,6072,9488,1
1431,PTM9312,5303,7658,1
1432,OSS2815,2422,8622,1
1433,PFM6271,3553,9819,1
1434,HUY8553,9666,833,1
1435,JUQ3987,7723,5667,1
1436,OBI9038,7260,9133,1
1437,BGL1688,6072,9488,1
1438,ODR4437,6842,4782,1
1439,HCY3050,3366,9194,2
1440,OAZ0611,4316,3639,1
1441,OKM8231,7428,4378,1
1442,ITQ6325,9961,3078,2
1443,OTC5769,9422,5310,1
1444,PWM8734,7134,4709,1
1445,IQS8324,4156,5989,1
1446,ODI4250,3497,6138,1
1447,HTI9850,7388,5319,1
1448,NMD7732,4117,2929,1
1449,MMF1813,5472,7792,1
1450,GWM9860,6072,3056,1
1451,BGT0003,1000,833,1
1452,OSS7636,7361,6353,1
1453,BMM5998,5303,7658,1
1454,PGU6003,2422,8622,1
1455,OMI1262,3944,7554,1
1456,KGJ1616,4042,2203,1
1457,OCT4347,2434,2172,1
1458,HDX4060,9222,5020,1
1459,PLM8346,4042,2203,1
1460,BGL1688,3944,7554,1
1461,OLS8841,1444,4721,1
1462,OUS6618,7723,5667,1
1463,HQD5530,8053,4258,1
1464,OTR6379,4316,3639,1
1465,PIW1914,5328,2522,1
1466,OWS5089,9711,2269,1
1467,PEM1937,6050,6869,1
1468,HYX9219,5500,4917,1
1469,HBQ9505,7272,1070,1
1470,OPC8343,7938,8810,1
1471,PBN8845,4501,5528,1
1472,HVV4634,4316,3639,1
1473,PTM9312,1708,1402,2
1474,MDY8551,764,6804,1
1475,OCI8619,8553,444,1
1476,MUX9069,2850,4686,1
1477,ONL6710,4400,5106,1
1478,OCF7777,7272,1070,1
1479,PAN9801,802,2054,1
1480,OTN2484,8188,8761,2
1481,FAO8772,7723,5667,1
1482,ONL6710,4042,2203,1
1483,OAF0538,6842,4782,2
1484,ORJ1224,132,5022,1
1485,JUR3209,2634,9246,1
1486,NJV3921,5000,4778,1
1487,NUQ3962,2850,4686,1
1488,ODI9577,3344,8755,1
1489,OGW4576,132,5022,1
1490,NDU9395,9356,1131,1
1491,PTM9312,4162,7589,2
1492,ONR2136,7262,8878,1
1493,OLS8841,3416,1233,1
1494,HDU1087,5500,4917,1
1495,HBX6151,9222,5020,1
1496,POZ0646,1000,833,1
1497,AXQ6752,1000,1194,1
1498,NPQ7574,2556,2528,1
1499,KMK4013,1308,9661,1
1500,PWE4914,9222,5020,1
1501,ORR3917,9654,4859,1
1502,FEF3342,3366,9194,1
1503,HJV5548,7428,4378,2
1504,BCN9576,1772,1190,1
1505,OXH8886,8711,2753,1
1506,PDN8412,4384,433,1
1507,HRE1418,8412,89,1
1508,ONL6710,2964,3758,1
1509,PQN1315,6782,800,1
1510,OCT4347,9222,1778,1
1511,NQO7977,1804,8735,1
1512,AII1290,8525,2161,1
1513,HTW3901,2555,528,1
1514,JYT2962,5500,4917,1
1515,PQF1184,7262,8878,1
1516,ONR6529,3497,6138,1
1517,IUN8788,8711,2753,1
1518,HHK1945,5666,5667,1
1519,PBQ1041,7260,9133,1
1520,OAS1690,6072,9488,1
1521,HZW1995,8188,8761,1
1522,OMS3145,1308,9661,2
1523,OBL4129,2403,9277,1
1524,OPE0986,2556,2528,3
1525,OGR6157,5000,4778,1
1526,OSF1692,5256,7837,1
1527,OUM7872,1308,9661,1
1528,ODI3248,8412,89,1
1529,ONP8606,7262,8878,1
1530,NSS8880,7260,9133,1
1531,OTR3701,9711,2269,1
1532,ODI3175,3416,1233,1
1533,OAI1866,3522,1867,1
1534,HDR2398,9222,5020,1
1535,LIA8080,5500,4917,1
1536,NVU1207,1000,1194,1
1537,OCC6475,3976,6305,1
1538,PWI0005,5666,5667,1
1539,OBM3377,4162,7589,1
1540,OHC6031,5222,3444,1
1541,NSQ1306,7428,4378,1
1542,ODC5319,1804,8735,2
1543,ODT2896,8310,2494,1
