,placa,loc_latitude,loc_longitude,count
86,BUD8010,4316,706,1
87,LFX8327,3976,6305,1
88,NID5468,4042,2203,1
89,OBI9038,7272,1070,1
90,NQD2505,5466,1020,1
91,OJI0776,3444,967,1
92,AHA9917,1382,4248,1
93,OPI0989,6967,855,1
94,OZH5283,5010,8083,1
95,PXM1009,2324,8727,1
96,PSW4113,5556,9333,1
97,NHD6532,2324,8727,1
98,JUJ6306,1708,1402,1
99,HZU1516,4880,550,1
100,OXT3045,2964,3758,1
101,HJX9706,7556,4971,1
102,ORG4674,9711,2269,1
103,NDU0818,5328,2522,2
104,PJM7246,2967,3581,1
105,HPI2854,3088,6052,1
106,OPC8863,6072,3056,1
107,OLS2179,8112,2056,2
108,OHT8325,2850,4686,1
109,NOQ5028,2556,2528,1
110,LJO8545,53,5909,1
111,IFS0533,2422,8622,1
112,ONQ8483,9654,4859,1
113,OMI3992,4400,5106,1
114,PDM4462,1382,4248,1
115,OTR3545,7272,1070,1
116,NDQ3475,2634,9246,1
117,AOO6950,1308,9661,2
118,HPX1013,1412,9134,1
119,HSV7524,7944,8369,1
120,HCA6240,3088,6052,1
121,BIS4273,1412,9134,1
122,OEC9029,5610,8083,1
123,OAZ3657,4361,2544,3
124,ODR5455,3964,8994,2
125,NXO9462,8444,528,1
126,BIR6188,2556,2528,1
127,OBT8420,1772,1190,1
128,OTY7130,5472,7792,1
129,PSN6821,7272,1070,1
130,OAT7973,2634,9246,1
131,OOR8769,9666,833,1
132,LAB4371,4608,1990,1
133,OZH9939,4400,5106,4
134,IZO0559,7272,1070,1
135,HIX4487,5500,4917,1
136,ONF4608,2833,1278,1
137,BCN8381,5303,7658,1
138,OUM0479,1000,833,1
139,OAG6713,4042,2203,1
140,ODM0614,132,5022,1
141,HKX7049,9422,5310,1
142,IYG7462,53,5909,1
143,NPN5820,7723,5667,1
144,MFZ8221,9222,5020,1
145,JWE8494,472,5552,1
146,POZ0646,6072,3056,1
147,ODC5614,6050,6869,1
148,BPI4552,8188,8761,1
149,ONY3671,1638,6794,1
150,OVQ0731,1772,1190,1
151,PGD8501,2434,2172,1
